frame_index,timestamp,nose_x,nose_y,nose_z,nose_visibility,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_visibility,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_visibility,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_visibility,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_visibility,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_visibility,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_visibility
34,1.6975,0.500773,0.484347,-1.727973,0.999544,0.837812,0.927410,-0.558732,0.982231,0.208882,0.923293,-0.374100,0.952924,1.076515,1.367713,-0.716539,0.165259,0.003819,1.293270,-0.394422,0.159997,1.133707,1.677590,-1.391704,0.124008,0.023931,1.105835,-1.305056,0.167928
35,1.7605,0.500891,0.483573,-1.729700,0.999527,0.838075,0.926490,-0.556168,0.981509,0.208994,0.922602,-0.380602,0.950340,1.078060,1.353088,-0.799206,0.162080,-0.004734,1.285490,-0.497886,0.159382,1.132549,1.598371,-1.543989,0.124541,0.027970,1.002355,-1.300714,0.171296
36,1.8013,0.500964,0.482915,-1.730385,0.999550,0.839482,0.927975,-0.554317,0.981955,0.209093,0.923046,-0.384558,0.952206,1.078043,1.372401,-0.705607,0.164152,-0.004760,1.311462,-0.393865,0.160818,1.133406,1.696993,-1.333817,0.124992,0.016773,1.419396,-1.194434,0.168255
37,1.8601,0.500935,0.482916,-1.730132,0.999555,0.839272,0.927838,-0.533932,0.982089,0.206112,0.924533,-0.392037,0.953268,1.075393,1.375563,-0.661025,0.162706,0.008238,1.354580,-0.292461,0.156916,1.128395,1.693097,-1.332286,0.122038,0.025755,1.607917,-0.966524,0.158160
38,1.9015,0.500907,0.478386,-1.657651,0.999568,0.842934,0.918043,-0.527466,0.982811,0.214122,0.922474,-0.326968,0.955256,1.094131,1.327373,-0.896201,0.169970,-0.045380,1.250802,-0.518794,0.183390,1.126147,1.425454,-1.730019,0.139188,-0.000077,0.975178,-1.290946,0.188497
39,1.9516,0.500019,0.478225,-1.673624,0.999579,0.847124,0.916845,-0.527498,0.982635,0.216071,0.922450,-0.330872,0.956093,1.031761,1.117997,-1.003069,0.176558,-0.039619,1.257273,-0.598159,0.196735,1.040352,1.158163,-1.850150,0.154502,0.014306,0.935476,-1.322911,0.207161
40,2.0012,0.499928,0.478352,-1.703496,0.999580,0.854501,0.915618,-0.560453,0.981396,0.219533,0.924975,-0.363807,0.954861,1.090668,1.182514,-1.145379,0.183132,-0.047923,1.203822,-0.581516,0.228068,1.013361,1.069572,-2.008628,0.165749,0.022275,0.884659,-1.078335,0.222853
41,2.0512,0.499714,0.479925,-1.705415,0.999594,0.854209,0.911437,-0.520283,0.981236,0.221933,0.924621,-0.408821,0.955442,1.100690,1.215587,-0.982586,0.181280,-0.030648,1.216684,-0.636717,0.225608,1.033801,1.133486,-1.809187,0.169686,0.027035,0.960201,-1.309156,0.231008
42,2.1031,0.498783,0.479962,-1.673637,0.999586,0.854066,0.907360,-0.501365,0.979659,0.221710,0.923223,-0.361407,0.952480,1.039055,1.096008,-1.102246,0.189318,-0.025676,1.226025,-0.646337,0.225104,1.002989,1.026386,-2.001321,0.184495,0.033042,0.920783,-1.441749,0.240206
43,2.1524,0.494214,0.477418,-1.805720,0.999491,0.853560,0.906653,-0.639358,0.976036,0.218573,0.920744,-0.389213,0.944985,1.099447,1.151827,-1.021461,0.188369,-0.024997,1.231760,-0.189508,0.219891,1.129591,1.090740,-1.666767,0.176386,0.027434,0.965862,-0.419507,0.228919
44,2.2039,0.494684,0.477208,-1.790720,0.999477,0.856133,0.907322,-0.615977,0.976377,0.218693,0.920948,-0.391499,0.945371,1.106539,1.240734,-1.082692,0.187119,-0.047032,1.209959,-0.603809,0.234699,1.111726,1.191650,-1.975034,0.178964,0.016958,0.928686,-1.324432,0.244356
45,2.2657,0.494836,0.472422,-1.806342,0.999458,0.858177,0.906995,-0.642733,0.974899,0.219332,0.918418,-0.427260,0.945304,1.118301,1.267129,-1.113520,0.183983,-0.074913,1.170201,-0.773018,0.257105,1.116271,1.336873,-1.932386,0.174979,0.013896,0.891053,-1.511013,0.261302
46,2.3191,0.498826,0.452990,-1.828554,0.999374,0.865531,0.906878,-0.664658,0.970575,0.219885,0.916976,-0.426073,0.939246,1.137609,1.266495,-1.160772,0.185265,-0.075878,1.179402,-0.511419,0.256609,1.135713,1.327696,-1.971871,0.169573,-0.002714,0.925153,-0.984184,0.256002
47,2.3655,0.506753,0.447097,-1.931695,0.999285,0.868805,0.916328,-0.694028,0.964038,0.217884,0.917072,-0.443203,0.935704,1.132663,1.293651,-1.279109,0.202383,-0.060344,1.300188,-0.327429,0.249118,1.061536,1.186959,-2.145936,0.166493,-0.000386,1.406567,-0.798608,0.234831
48,2.4190,0.511034,0.448024,-2.015790,0.998988,0.869388,0.923463,-0.772857,0.954275,0.216272,0.922733,-0.439765,0.915867,1.138107,1.311286,-1.333769,0.216178,-0.063294,1.293525,-0.425286,0.241963,1.015980,1.097178,-2.052437,0.162473,0.000712,1.180662,-1.069995,0.216265
49,2.4642,0.508294,0.483805,-2.221930,0.998953,0.872338,0.958637,-0.914349,0.954230,0.212804,0.936517,-0.699587,0.920709,1.148066,1.431843,-1.504370,0.233912,-0.010982,1.450627,-0.237884,0.229238,0.993694,1.166820,-2.386220,0.163004,0.036169,1.809248,-0.386414,0.197133
50,2.5145,0.504752,0.511161,-2.441928,0.998854,0.873082,0.955861,-1.067602,0.954681,0.211196,0.936160,-0.891953,0.924954,1.154396,1.402981,-1.849556,0.265724,0.000735,1.437077,-0.541548,0.223330,0.981676,1.037420,-2.874048,0.183023,0.042575,1.794169,-0.462593,0.182408
51,2.5694,0.495645,0.525668,-2.551627,0.998652,0.872904,0.956072,-1.119037,0.952368,0.198141,0.946069,-0.973145,0.927327,1.160471,1.386680,-1.767838,0.276567,0.008084,1.504078,-0.623565,0.215739,0.995292,1.107277,-2.725818,0.177179,0.053178,1.861203,-0.762419,0.167657
